City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Tatawin,TN,2022-07-14 20:19:07,32.9297,10.4518,76.95,59,0,13.85
261,Kawalu,ID,2022-07-14 20:19:08,-7.3817,108.2082,72.79,98,100,0.98
262,Tabas,IR,2022-07-14 20:19:08,33.5959,56.9244,86.95,17,0,13.96
263,Cockburn Town,TC,2022-07-14 20:19:08,21.4612,-71.1419,81.1,78,90,19.77
264,Arraial Do Cabo,BR,2022-07-14 20:19:09,-22.9661,-42.0278,73.36,83,0,13.8
265,Siguiri,GN,2022-07-14 20:19:09,11.6667,-9.5,82.33,67,86,3.65
266,Roald,NO,2022-07-14 20:19:09,62.5833,6.1333,54.16,82,40,9.22
267,Norman Wells,CA,2022-07-14 20:19:09,65.282,-126.8329,51.84,76,100,14.97
268,Wajir,KE,2022-07-14 20:19:10,1.7471,40.0573,76.06,74,65,18.32
269,Petropavlovsk-Kamchatskiy,RU,2022-07-14 20:19:10,53.0452,158.6483,57.79,100,75,2.24
270,Kushiro,JP,2022-07-14 20:19:10,42.975,144.3747,61.07,95,100,8.16
271,Ovalle,CL,2022-07-14 20:19:11,-30.5983,-71.2003,50.04,95,100,4.88
272,Vao,NC,2022-07-14 20:19:11,-22.6667,167.4833,71.64,54,57,25.12
273,Quatre Cocos,MU,2022-07-14 20:19:11,-20.2078,57.7625,69.1,74,80,15.39
274,Sao Filipe,CV,2022-07-14 20:19:12,14.8961,-24.4956,75.78,75,8,13.15
275,Katobu,ID,2022-07-14 20:19:12,-4.9408,122.5276,73.85,88,73,3.09
276,Huambo,AO,2022-07-14 20:19:12,-12.7761,15.7392,58.05,36,0,4.38
277,Verkhnyaya Inta,RU,2022-07-14 20:19:12,65.9811,60.3094,69.75,61,0,7.65
278,Kavaratti,IN,2022-07-14 20:15:04,10.5669,72.642,81.68,80,94,23.69
279,Cherskiy,RU,2022-07-14 20:15:05,68.75,161.3,45.19,58,100,1.88
280,Thompson,CA,2022-07-14 20:16:41,55.7435,-97.8558,71.76,83,75,2.3
281,Ayna,PE,2022-07-14 20:19:13,-12.65,-73.9167,71.19,62,88,4.14
282,North Bend,US,2022-07-14 20:19:13,43.4065,-124.2243,75.24,77,0,16.11
283,Jacareacanga,BR,2022-07-14 20:19:13,-6.2222,-57.7528,96.12,27,4,3.96
284,San Quintin,MX,2022-07-14 20:19:14,30.4833,-115.95,73.08,66,0,13.44
285,Krasnyy Chikoy,RU,2022-07-14 20:19:14,50.3643,108.7512,56.39,97,90,3.18
286,Mount Isa,AU,2022-07-14 20:19:14,-20.7333,139.5,42.57,56,11,9.22
287,Santa Barbara,US,2022-07-14 20:18:41,34.7333,-120.0343,93.34,40,0,9.22
288,Nanfeng,CN,2022-07-14 20:19:15,23.7434,111.7959,79.52,87,62,1.12
289,Bobo Dioulasso,BF,2022-07-14 20:19:15,11.1771,-4.2979,79.03,70,78,5.95
290,Bara,NG,2022-07-14 20:19:15,10.3744,10.7288,74.59,88,58,8.32
291,Sola,VU,2022-07-14 20:19:16,-13.8833,167.55,79.65,71,34,2.15
